date,name,category,value
2013-01-01,korean&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2013-01-01,japanese &amp;lt;br /&amp;gt;&amp;lt;br /&amp;gt;&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2013-01-01,traditional chinese (text only),other,1
2013-01-01,englishb/b,other,4
2013-01-01,frenchb/b,other,1
2013-01-01,italianb/b,other,1
2013-01-01,germanb/b,other,2
2013-01-01,spanish - spainb/b,other,1
2013-01-01,koreanb/b,other,1
2013-01-01,japanese \r\n\r\nb/b,other,1
2013-01-01,italian \r\n\r\nb/b,other,1
2013-01-01,english (full audio),other,3
2013-01-01,russian\r\nb/b,other,1
2013-01-01,spanish - spain\r\nb/b,other,1
2013-01-01,slovakian,other,2
2013-01-01,english\r\nrussian\r\nspanish - spain\r\njapanese\r\nczech,other,1
2013-01-01,japanese (all with full audio support),other,1
2013-01-01,english dutch  english,other,1
2013-01-01,portuguese - portugal,other,1
2014-01-01,english,anglo,3765
2014-01-01,polish,other,618
2014-01-01,french,latin,1645
2014-01-01,italian,latin,1348
2014-01-01,german,anglo,1754
2014-01-01,spanish - spain,latin,1473
2014-01-01,portuguese,latin,205
2014-01-01,russian,slavic,930
2014-01-01,japanese,japanese,462
2014-01-01,portuguese - brazil,latin,334
2014-01-01,dutch,anglo,274
2014-01-01,simplified chinese,chinese,284
2014-01-01,\r\nfrench,other,1
2014-01-01,\r\ngerman,other,1
2014-01-01,czech,czech,245
2014-01-01,danish,nordic,106
2014-01-01,norwegian,nordic,94
2014-01-01,swedish,nordic,146
2014-01-01,turkish,turkish,130
2014-01-01,korean,korean,272
2014-01-01,finnish,nordic,83
2014-01-01,greek,greek,35
2014-01-01,hungarian,hungarian,151
2014-01-01,traditional chinese,chinese,203
2014-01-01,german;,other,2
2014-01-01,bulgarian,slavic,31
2014-01-01,thai,other,36
2014-01-01,ukrainian,slavic,54
2014-01-01,arabic,arabic,27
2014-01-01,romanian,latin,40
2014-01-01,spanish - latin america,latin,29
2014-01-01,#lang_français,other,1
2014-01-01,vietnamese,other,8
2014-01-01,russian\r\nenglish\r\nspanish - spain\r\nfrench\r\njapanese\r\nczech,other,1
2014-01-01,english&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2014-01-01,french&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2014-01-01,italian&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2014-01-01,german&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2014-01-01,spanish - spain&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2014-01-01,korean&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2014-01-01,japanese &amp;lt;br /&amp;gt;&amp;lt;br /&amp;gt;&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2014-01-01,traditional chinese (text only),other,1
2014-01-01,englishb/b,other,4
2014-01-01,frenchb/b,other,1
2014-01-01,italianb/b,other,1
2014-01-01,germanb/b,other,2
2014-01-01,spanish - spainb/b,other,1
2014-01-01,koreanb/b,other,1
2014-01-01,japanese \r\n\r\nb/b,other,1
2014-01-01,italian \r\n\r\nb/b,other,1
2014-01-01,english (full audio),other,3
2014-01-01,russian\r\nb/b,other,1
2014-01-01,spanish - spain\r\nb/b,other,1
2014-01-01,slovakian,other,2
2014-01-01,english\r\nrussian\r\nspanish - spain\r\njapanese\r\nczech,other,1
2014-01-01,japanese (all with full audio support),other,1
2014-01-01,english dutch  english,other,1
2014-01-01,portuguese - portugal,other,3
2015-01-01,english,anglo,6431
2015-01-01,polish,other,920
2015-01-01,french,latin,2436
2015-01-01,italian,latin,1945
2015-01-01,german,anglo,2608
2015-01-01,spanish - spain,latin,2225
2015-01-01,portuguese,latin,389
2015-01-01,russian,slavic,1563
2015-01-01,japanese,japanese,883
2015-01-01,turkish,turkish,258
2015-01-01,czech,czech,374
2015-01-01,portuguese - brazil,latin,675
2015-01-01,hungarian,hungarian,231
2015-01-01,dutch,anglo,444
2015-01-01,ukrainian,slavic,113
2015-01-01,danish,nordic,169
2015-01-01,simplified chinese,chinese,566
2015-01-01,korean,korean,490
2015-01-01,traditional chinese,chinese,358
2015-01-01,\r\nfrench,other,1
2015-01-01,\r\ngerman,other,1
2015-01-01,swedish,nordic,235
2015-01-01,arabic,arabic,66
2015-01-01,norwegian,nordic,137
2015-01-01,finnish,nordic,131
2015-01-01,greek,greek,67
2015-01-01,romanian,latin,83
2015-01-01,german;,other,2
2015-01-01,bulgarian,slavic,58
2015-01-01,thai,other,72
2015-01-01,spanish - latin america,latin,50
2015-01-01,#lang_français,other,1
2015-01-01,vietnamese,other,15
2015-01-01,russian\r\nenglish\r\nspanish - spain\r\nfrench\r\njapanese\r\nczech,other,1
2015-01-01,english&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2015-01-01,french&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2015-01-01,italian&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2015-01-01,german&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2015-01-01,spanish - spain&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2015-01-01,korean&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2015-01-01,japanese &amp;lt;br /&amp;gt;&amp;lt;br /&amp;gt;&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2015-01-01,traditional chinese (text only),other,1
2015-01-01,englishb/b,other,4
2015-01-01,frenchb/b,other,1
2015-01-01,italianb/b,other,1
